uniqueid,deo,region,district,gender,age,income,person_of_worth,good_qualities,am_failure,do_well,little_pride,positive_attitude,satisfied_w_self,want_selfrespect,feel_useless,no_good_at_all
44,2,2,23,1,30,178,3,2,2,2,2,3,2,3,2,2
45,2,4,44,2,33,29,4,2,2,2,4,3,2,3,4,2
46,8,4,45,2,26,28,2,2,3,2,2,3,3,2,2,2
47,4,5,55,1,23,212,4,3,3,4,1,2,3,4,3,3
48,5,3,32,2,31,88,3,2,3,2,1,4,2,2,2,2
49,3,4,45,1,35,23,2,3,4,4,2,3,3,4,2,3
50,5,2,24,1,27,72,4,3,2,1,2,4,2,2,3,4
51,6,4,41,2,33,20,2,2,2,1,2,3,2,3,3,3
52,3,3,31,2,41,27,4,2,4,2,4,2,2,2,2,3
53,5,4,41,2,34,281,3,2,3,4,2,3,4,2,2,4
54,5,3,31,2,38,851,4,2,2,1,2,2,2,4,2,4
55,3,2,21,2,21,31,4,2,2,4,3,2,1,4,2,1
56,6,3,35,2,18,51,4,3,2,2,3,2,3,3,2,1
57,4,5,53,1,24,64,1,2,1,3,4,3,3,1,2,2
58,6,5,52,2,36,10,3,3,1,2,2,3,3,2,2,2
59,2,1,12,1,34,7,2,2,2,4,1,3,3,3,3,2
60,5,5,55,2,28,74,1,3,2,2,4,2,2,3,3,3
61,7,3,33,1,30,35,3,1,3,2,2,3,4,4,3,2
62,4,2,21,2,39,52,3,3,1,4,3,2,1,4,3,4
63,8,4,45,2,33,29,3,3,2,3,3,2,4,4,4,2
64,7,3,31,1,37,35,4,4,3,2,4,2,4,3,3,1
65,3,3,3,1,33,304,2,3,3,3,3,2,3,2,2,2
66,1,3,34,1,27,119,2,2,2,3,2,4,3,2,2,4
67,7,2,25,2,29,9,3,2,3,4,3,2,4,1,4,2
68,4,3,32,2,30,277,3,3,3,2,1,3,2,2,2,2
69,2,4,45,1,26,34,2,2,3,3,2,4,4,3,3,2
70,8,2,24,2,39,59,3,3,2,3,2,3,4,1,3,2
71,1,3,32,2,32,81,4,2,2,3,2,2,2,2,2,4
72,5,4,44,,23,21,3,3,2,2,3,4,3,4,1,3
73,6,5,55,1,31,48,3,3,1,1,4,2,3,1,2,2
74,6,2,22,2,38,90,3,4,3,2,3,4,3,2,2,2
75,7,2,24,2,35,111,2,3,3,2,2,3,2,3,3,3
76,6,2,24,2,33,62,3,2,2,2,1,3,3,3,2,1
77,4,3,31,2,43,265,3,3,1,1,3,2,1,3,2,3
78,1,4,42,2,37,64,1,3,2,2,3,3,2,2,3,4
79,7,4,44,2,34,121,3,4,3,4,3,1,3,3,2,4
80,5,3,32,2,36,37,3,4,3,2,2,3,3,2,4,3
81,8,2,23,2,32,222,1,3,4,2,3,3,4,2,2,2
82,6,2,23,1,37,21,4,3,3,4,2,3,2,2,2,2
83,7,3,32,1,30,140,4,2,2,3,3,2,3,4,3,3
84,8,2,23,2,33,140,3,4,4,2,2,3,2,2,3,3
85,1,2,21,2,28,28,2,2,3,2,4,4,3,2,2,1
86,7,3,33,1,30,160,3,2,2,1,4,4,4,4,4,2
87,6,2,25,2,32,121,4,1,2,1,2,4,4,2,3,2
88,4,1,12,2,27,104,2,3,3,4,3,2,2,2,3,2
89,8,3,32,2,27,66,4,3,3,2,2,3,4,2,3,2
90,6,5,51,2,15,42,2,3,2,4,3,2,3,2,2,3
91,3,4,42,1,45,28,3,3,2,1,2,3,2,2,3,3
92,4,3,31,2,35,24,2,2,2,4,3,2,3,3,4,3
93,3,4,41,2,37,36,2,3,2,2,3,4,1,4,2,4
94,8,2,21,1,35,305,4,3,2,2,2,3,4,3,3,4
95,7,4,44,2,28,41,3,4,4,1,3,4,2,2,2,3
96,2,5,55,2,23,23,1,1,4,3,3,2,4,4,3,1
97,3,2,24,1,28,14,1,3,2,2,2,4,3,2,2,3
98,2,3,34,2,26,11,2,4,2,3,3,3,2,3,4,2
99,1,4,42,2,28,72,4,2,3,2,4,3,4,4,4,4
100,2,4,42,1,34,97,3,4,1,3,4,1,2,3,4,1
101,1,5,51,2,18,155,4,2,4,3,4,2,2,4,2,4
102,8,3,31,2,31,41,2,3,1,1,3,3,3,3,3,3
103,8,1,14,2,35,133,3,4,2,1,2,3,3,4,3,2
104,2,5,54,2,32,92,4,3,2,2,3,2,2,3,3,2
105,3,3,13,1,25,12,3,3,2,2,4,4,1,4,3,2
106,1,1,11,2,26,20,4,4,3,4,3,2,3,4,4,1
107,8,1,11,1,29,104,3,3,3,4,4,2,2,3,2,4
108,1,4,43,1,33,32,2,1,3,3,4,2,3,3,4,2
109,4,4,44,1,34,28,4,4,3,1,4,4,3,4,4,4
110,8,3,32,1,31,390,2,4,1,3,3,2,2,3,4,4
111,3,4,43,2,33,82,2,3,4,4,2,2,4,3,3,3
112,4,1,11,1,31,195,4,3,3,2,2,4,3,2,3,2
113,2,2,25,1,26,443,3,2,2,2,2,2,3,3,2,3
114,8,2,22,1,35,365,4,4,3,2,4,2,4,2,4,1
115,8,4,42,1,37,67,4,2,2,3,3,2,3,1,3,4
116,1,2,25,1,31,339,2,2,3,2,2,3,2,2,4,2
117,4,4,41,1,33,39,3,3,3,2,4,4,3,3,4,2
118,1,3,34,1,29,126,4,2,4,3,3,4,4,3,3,2
119,4,5,52,2,29,7,3,3,3,4,3,3,4,2,4,2
120,7,1,12,1,33,250,3,2,3,4,3,3,3,3,4,4
121,4,1,12,2,24,55,2,3,2,2,3,1,4,2,3,2
122,1,5,51,2,37,225,1,2,3,1,3,2,2,2,2,1
123,7,3,35,1,34,33,3,2,4,3,2,2,3,2,2,4
124,5,5,55,1,18,21,2,4,1,2,4,4,3,4,3,2
125,1,2,25,2,2,144,2,1,2,2,2,4,1,2,1,3
126,1,4,42,1,27,179,3,3,2,4,4,2,4,2,3,4
127,8,2,21,2,42,246,2,3,3,3,4,2,2,2,3,1
128,1,3,33,1,39,43,1,3,3,2,3,2,4,1,3,2
129,4,4,44,1,28,30,3,3,2,3,4,4,2,4,3,2
130,4,4,42,1,23,43,3,3,4,3,4,3,3,4,2,1
131,2,1,12,1,23,161,3,2,2,4,3,2,3,2,3,3
132,5,1,12,2,34,85,3,3,4,3,3,4,3,2,3,3
133,6,5,54,1,30,15,2,2,1,2,3,2,3,4,2,2
134,3,4,43,2,27,21,1,2,4,3,2,4,2,2,3,3
135,6,2,25,2,44,128,2,4,3,2,3,2,2,2,2,2
136,3,4,44,1,26,22,4,1,3,1,2,3,2,1,3,2
137,1,5,51,1,35,17,3,2,1,2,4,3,3,2,2,4
138,1,5,54,1,33,77,2,3,2,4,2,4,1,3,3,1
139,7,1,15,1,23,178,2,2,4,1,2,3,1,2,3,4
140,3,2,24,1,34,9,2,2,1,2,4,3,3,2,2,3
141,8,3,32,1,31,19,4,2,2,2,3,2,1,3,3,2
142,6,1,14,2,32,51,3,3,2,4,4,2,4,3,4,2
143,6,4,42,2,40,8,4,2,4,4,2,2,2,3,3,1
144,5,2,25,1,42,131,3,3,1,2,1,4,1,1,2,3
145,4,5,53,2,30,129,1,1,4,1,2,1,3,2,1,1
146,6,2,25,1,26,132,3,4,2,3,2,2,4,2,2,4
147,2,4,41,1,37,111,4,4,3,4,3,3,3,3,2,2
148,4,4,44,2,33,228,2,2,2,3,2,4,4,2,2,2
149,8,5,54,1,30,35,1,1,2,3,2,3,2,2,4,2
150,2,5,52,1,36,8,3,4,2,3,3,3,3,3,2,2
151,2,2,21,1,34,46,4,3,3,2,3,3,2,2,4,3
152,6,4,41,1,28,24,2,4,4,2,3,1,2,1,2,4
153,1,4,42,2,25,143,4,2,3,2,2,3,3,3,3,1
154,6,3,35,2,21,125,2,4,2,3,2,2,3,2,2,3
155,7,2,23,2,28,34,2,2,2,3,1,3,1,2,4,2
156,5,5,53,1,24,98,3,3,3,4,3,4,2,2,3,1
157,7,5,55,1,33,20,2,2,3,2,3,3,2,2,3,4
158,7,2,23,1,35,14,2,2,2,3,4,3,3,2,4,2
159,1,3,34,1,30,28,4,3,2,2,1,2,3,3,1,4
160,3,4,43,1,18,680,4,2,1,3,3,3,4,3,4,3
161,7,3,31,1,25,53,1,3,3,3,3,2,3,3,2,2
162,8,1,14,2,31,37,2,4,4,2,3,2,3,3,2,4
163,5,3,34,2,37,45,2,3,2,3,4,3,3,3,3,2
164,7,3,34,1,28,58,2,1,3,4,2,4,2,2,4,3
165,1,2,23,1,32,126,3,3,4,2,1,1,1,4,2,3
166,1,5,54,2,25,32,3,3,2,1,3,3,3,3,1,1
167,1,5,54,1,32,26,3,2,1,1,3,4,4,2,3,2
168,6,2,25,2,33,52,4,3,3,4,1,3,4,4,4,3
169,2,1,11,2,25,12,4,3,3,2,1,3,3,3,2,3
170,6,4,43,2,31,55,3,2,1,4,2,2,2,1,1,2
171,8,2,25,2,24,67,3,4,4,2,2,4,4,2,3,2
172,2,2,24,1,18,59,2,2,2,3,3,2,2,3,4,3
173,2,2,22,1,33,13,2,3,3,3,2,2,1,2,3,2
174,6,3,31,1,28,17,1,3,3,3,4,2,2,4,2,3
175,5,4,44,1,34,71,4,3,2,2,2,2,2,4,3,2
176,4,4,41,2,24,88,1,2,1,2,2,2,2,3,3,2
177,3,5,54,1,30,23,3,4,2,2,2,3,4,3,3,2
178,7,1,11,2,37,11,2,2,2,3,3,3,3,3,2,4
179,7,4,43,2,25,50,1,3,3,2,3,2,2,4,2,3
180,8,5,52,1,24,13,3,1,2,2,2,4,2,3,3,3
181,7,3,32,2,28,34,3,3,3,2,1,2,2,3,1,2
182,1,3,35,2,36,244,3,2,3,2,3,2,3,3,4,2
183,8,5,53,1,28,21,1,3,2,2,2,1,2,4,4,3
184,6,4,43,1,32,71,4,2,4,3,1,4,3,3,4,3
185,5,5,52,1,23,76,4,2,1,3,4,2,1,1,2,2
186,6,1,15,1,45,38,3,4,4,1,3,3,1,3,2,3
187,3,4,44,2,38,19,2,3,2,4,1,2,4,1,1,4
188,6,1,11,2,34,76,1,3,2,4,4,2,3,3,4,1
189,6,1,11,2,29,34,2,3,3,4,1,3,2,3,2,3
190,5,4,42,1,25,25,3,3,2,1,3,1,2,1,4,2
191,3,4,43,2,28,22,2,1,1,1,3,3,1,3,4,3
192,3,4,41,1,39,33,2,3,4,3,2,4,3,2,3,4
193,6,2,21,2,29,155,1,3,3,3,3,3,3,4,3,2
194,7,5,54,1,33,20,2,3,2,3,3,3,3,2,1,2
195,3,5,53,2,30,48,2,3,3,3,3,1,2,2,2,2
196,1,3,31,2,28,48,3,2,2,2,3,2,4,2,3,1
197,4,2,24,1,36,268,2,3,1,3,3,2,1,1,3,1
198,2,4,42,2,32,19,2,2,3,2,4,2,4,4,2,2
199,8,3,354,2,28,41,2,2,2,3,3,3,3,4,3,3
200,3,2,24,2,31,47,3,4,1,2,3,2,3,4,2,2
201,1,4,41,1,26,118,3,3,2,3,3,4,3,4,2,2
202,8,1,13,2,28,25,4,1,1,4,2,3,1,3,4,1
203,7,5,53,2,46,232,2,1,3,3,2,2,3,3,2,4
204,7,5,52,2,19,161,2,3,3,2,2,2,3,2,2,3
205,3,3,33,2,38,,4,2,3,2,1,4,2,2,3,2
206,4,2,23,2,20,46,2,4,1,2,3,4,2,2,3,3
207,6,1,14,1,37,64,2,3,4,3,4,1,2,4,3,1
208,2,2,22,1,28,59,3,1,3,4,4,2,3,3,4,4
209,3,3,32,1,29,74,2,2,3,4,4,2,2,4,1,4
210,7,1,14,1,31,145,4,3,3,3,2,2,3,3,2,1
211,7,3,34,1,29,17,1,1,3,3,2,4,3,2,3,3
212,5,4,43,1,42,58,1,4,4,2,3,2,3,3,1,2
213,1,1,13,1,33,18,3,4,3,3,2,3,4,3,2,2
214,7,1,15,1,33,268,2,3,4,3,4,3,2,1,2,1
215,8,3,31,1,26,150,2,1,2,2,2,1,4,2,2,3
216,6,1,13,2,24,31,3,1,3,3,2,3,3,2,2,2
217,5,2,25,2,25,48,2,4,4,2,4,4,4,2,2,3
218,3,2,25,1,37,74,4,4,1,2,2,4,2,2,4,2
219,2,5,51,1,33,400,3,2,4,3,3,3,3,4,2,1
220,1,5,53,1,23,91,3,4,4,2,2,3,1,3,2,1
221,4,5,52,1,38,21,4,3,3,3,2,4,1,2,3,1
222,2,5,53,1,25,25,4,1,1,2,2,2,3,2,1,2
223,2,1,15,1,26,15,4,4,3,2,3,2,2,2,2,4
224,3,4,42,2,25,47,2,2,2,1,2,4,4,2,2,3
225,3,4,43,1,22,100,4,2,2,4,4,3,4,4,3,1
226,3,5,54,2,41,39,4,3,3,4,2,1,4,3,3,2
227,5,4,41,1,24,50,1,4,3,3,3,4,2,2,4,2
228,4,3,33,2,34,241,4,2,2,2,2,3,4,2,3,3
229,2,5,55,1,28,203,4,2,3,2,4,4,1,2,2,1
230,7,3,34,1,27,31,2,2,3,3,3,2,1,3,2,3
231,6,4,43,1,37,29,3,3,3,2,2,2,4,4,3,2
232,1,5,51,1,29,66,4,2,4,3,4,4,3,4,4,3
233,2,1,14,2,28,64,3,2,2,1,3,4,4,3,4,3
234,3,3,34,1,23,43,3,3,3,4,4,3,4,2,3,3
235,5,2,23,1,29,276,3,3,2,4,1,3,2,3,3,2
236,1,1,13,1,31,123,4,2,2,3,4,3,3,3,4,2
237,3,3,31,1,28,10,2,2,3,4,2,4,1,4,1,3
238,7,3,32,2,24,53,4,4,4,1,2,2,3,2,3,3
239,6,1,15,1,32,17,2,3,4,3,2,3,3,4,4,4
240,6,2,22,2,34,21,3,4,2,3,2,3,1,2,2,4
241,3,2,21,2,31,18,4,4,2,4,3,3,3,2,3,3
242,4,2,25,1,35,46,1,4,2,4,4,4,2,2,4,3
243,7,5,55,1,31,19,3,3,4,2,1,1,4,4,2,2
244,2,5,51,1,27,113,3,3,2,2,2,3,3,3,2,1
245,4,2,22,2,36,41,4,2,3,2,2,4,3,4,3,2
246,1,3,34,1,34,224,4,1,1,2,4,3,1,1,2,2
247,5,5,52,2,38,59,3,2,3,4,2,2,2,1,2,3
248,1,4,45,1,29,75,2,3,2,2,1,4,1,3,3,4
249,5,4,43,1,42,33,3,3,3,2,4,4,4,3,3,2
250,5,1,11,1,30,50,2,2,2,3,3,2,4,4,3,3
251,6,1,14,1,23,179,4,3,4,2,3,3,3,4,3,2
252,8,4,42,1,30,16,4,2,3,4,1,3,3,4,2,4
253,6,2,22,2,37,202,3,4,2,4,2,2,3,2,3,3
254,4,2,21,2,26,22,3,1,2,2,2,3,2,2,3,4
255,6,3,35,1,31,52,2,3,3,3,4,4,3,1,2,3
256,7,4,44,1,29,91,3,4,3,3,1,4,3,3,2,3
257,7,4,43,1,31,42,4,1,2,3,3,4,2,3,4,1
258,8,4,43,1,30,110,3,1,3,4,3,1,3,3,3,3
259,7,2,22,1,35,33,2,2,2,4,4,4,1,2,2,3
260,8,1,15,1,26,159,2,1,2,1,3,4,1,2,3,2
261,2,2,24,1,34,236,2,4,2,3,1,4,4,3,3,3
262,3,5,54,2,23,63,2,3,2,4,3,1,4,2,2,2
263,3,1,14,2,33,82,2,3,3,2,4,2,2,2,4,4
264,5,4,45,2,29,54,2,2,3,3,3,3,3,3,2,2
265,1,5,53,2,35,87,4,2,2,2,3,1,4,2,3,4
266,5,3,33,1,36,60,4,2,2,4,3,3,3,3,2,3
267,8,3,35,1,34,106,2,1,4,3,2,1,4,3,2,1
268,7,3,35,1,26,38,3,3,3,4,4,3,4,3,2,2
269,4,2,23,1,25,66,4,3,2,2,3,2,2,1,3,2
270,8,5,54,1,31,117,3,3,1,2,3,2,2,2,3,2
271,8,2,22,1,32,32,2,1,3,4,3,1,2,2,2,2
272,3,2,25,2,40,37,3,4,1,1,3,2,3,3,1,2
273,8,4,43,2,28,63,2,4,2,3,3,3,4,2,3,3
274,6,1,13,2,35,48,2,4,2,3,2,4,3,3,3,2
275,7,3,34,2,24,96,4,1,3,2,4,3,2,3,4,1
276,7,4,44,1,31,27,2,2,2,3,2,2,4,3,3,3
277,7,3,32,2,36,18,4,3,3,3,1,2,3,2,2,3
278,7,5,53,1,41,28,2,3,3,3,2,2,2,4,1,2
279,6,5,51,1,32,63,2,3,3,2,3,2,2,3,2,4
280,2,4,42,1,25,177,3,4,3,4,3,1,4,4,3,2
281,1,2,24,2,37,25,4,3,2,3,2,3,4,2,2,3
282,5,4,41,2,33,52,4,2,2,3,4,3,3,2,2,3
283,4,1,11,1,26,14,3,2,3,3,3,3,3,3,3,3
284,1,3,34,2,35,91,2,3,4,3,2,4,1,4,3,1
285,7,3,35,2,36,74,3,2,4,4,2,3,3,2,3,4
286,6,5,51,2,,41,1,1,2,3,3,3,3,4,4,3
287,7,1,15,2,31,67,4,3,3,3,2,1,3,2,3,2
288,7,3,35,1,40,68,1,3,3,3,3,3,3,3,1,3
289,4,5,52,2,30,331,2,2,3,4,2,2,3,2,4,4
290,3,5,52,1,26,51,2,3,2,2,3,3,3,2,3,4
291,8,4,42,1,33,278,4,3,3,3,3,3,3,4,2,4
292,7,5,55,1,31,380,2,2,3,3,3,4,3,3,2,3
293,6,3,34,1,37,65,3,2,3,3,3,3,2,3,2,3
294,6,4,43,2,32,45,3,4,2,4,3,1,1,2,4,3
295,1,1,13,1,28,151,1,4,3,2,4,2,2,1,1,3
296,2,4,44,2,40,24,2,2,4,3,1,4,2,3,3,4
297,4,2,21,2,32,101,3,2,2,2,3,3,3,4,1,3
298,1,2,,2,51,113,4,3,4,1,2,3,1,2,2,2
299,6,3,33,2,27,69,2,4,4,4,1,3,2,3,2,4
300,3,5,52,1,37,61,4,4,3,3,2,4,2,3,2,3
301,3,1,15,2,40,8,4,2,4,3,4,2,2,1,4,3
302,7,2,23,2,31,130,3,2,1,4,2,3,1,3,1,2
303,2,2,23,1,35,22,2,4,3,2,4,1,3,4,1,3
304,6,1,15,2,34,71,2,3,4,3,3,2,4,4,3,4
305,5,2,21,1,28,66,2,4,3,2,2,1,2,3,3,2
306,3,5,54,2,26,85,2,3,2,3,1,3,4,2,2,3
307,2,1,14,2,35,28,2,3,4,3,4,3,4,4,4,3
308,3,5,53,2,44,31,2,3,1,2,2,3,3,1,4,3
309,4,1,11,2,30,65,2,3,4,2,3,2,2,3,2,2
310,2,3,33,2,38,18,2,3,3,2,4,3,2,2,2,2
311,1,4,41,1,30,20,2,3,4,4,4,2,3,4,2,4
312,3,3,34,1,30,104,4,4,3,3,2,2,3,3,3,1
313,5,5,55,1,25,12,3,2,2,2,3,2,2,2,4,3
314,8,5,53,1,33,51,4,4,4,3,2,2,4,2,4,3
315,2,2,25,2,31,8,2,2,2,2,4,2,2,4,2,4
316,6,3,32,1,29,51,3,1,3,4,3,2,4,3,2,2
317,2,1,13,1,34,182,1,2,2,4,2,4,3,2,1,2
318,6,2,21,1,32,84,2,3,3,2,2,2,2,4,2,3
319,2,4,45,1,25,37,2,3,3,4,1,2,4,2,2,2
320,2,1,13,1,26,14,4,1,2,4,2,1,1,2,4,2
321,8,3,32,2,28,18,3,2,3,4,4,3,4,2,3,2
322,2,2,22,2,30,27,2,3,2,2,3,3,3,1,4,1
323,1,5,51,2,35,690,3,3,3,2,4,2,2,2,3,4
324,1,5,52,2,28,43,2,4,4,3,2,2,2,3,3,2
325,4,4,45,1,29,128,1,2,3,3,4,3,4,4,2,1
326,6,1,14,1,32,134,2,2,1,1,4,4,1,2,1,4
327,5,5,53,1,33,63,2,2,2,4,1,4,3,3,3,2
328,6,3,33,1,27,244,4,4,1,3,1,2,3,2,3,2
329,7,3,34,2,38,35,2,1,2,2,2,3,2,2,4,1
330,1,2,25,2,33,66,3,4,3,3,4,2,2,3,2,4
331,3,3,33,1,35,230,4,3,3,2,3,2,2,3,4,3
332,1,3,33,2,41,154,4,4,2,4,4,2,3,3,1,2
333,3,3,33,2,31,395,1,2,4,4,2,2,3,2,2,2
334,1,1,11,2,36,152,2,4,4,3,4,3,2,2,3,3
335,1,3,34,2,30,22,1,2,2,2,3,3,3,2,4,4
336,4,1,13,1,39,8,3,2,2,3,3,2,4,2,2,3
337,6,5,53,2,42,77,3,2,2,2,2,2,4,1,2,1
338,2,5,52,1,41,43,3,3,4,2,3,2,2,4,2,3
339,1,1,14,2,34,77,3,2,4,2,4,2,3,3,2,3
340,4,2,22,1,36,55,2,3,3,3,3,3,4,2,3,3
341,3,3,31,2,31,642,3,2,3,2,2,3,4,4,4,3
342,1,4,44,2,34,85,1,3,2,4,2,1,4,3,3,2
343,1,2,24,1,39,69,4,2,3,3,2,3,3,4,3,4
344,5,5,51,1,32,65,4,3,4,4,4,3,2,2,3,1
345,3,1,14,1,41,51,3,3,3,3,2,3,2,1,2,3
346,6,5,53,2,20,52,4,3,3,3,4,2,4,2,3,3
347,5,2,23,1,34,279,2,3,3,2,1,2,4,2,3,4
348,5,2,25,2,24,29,4,3,4,3,4,2,,4,3,2
349,4,5,53,1,38,42,1,3,1,2,1,3,3,3,3,1
350,1,2,25,2,43,44,3,2,2,3,2,3,2,3,4,2
351,1,3,31,1,21,97,4,3,2,4,3,3,2,3,4,2
352,5,1,15,1,36,15,2,4,2,2,4,2,4,2,4,2
353,4,1,13,1,45,139,2,4,2,1,3,2,3,3,2,2
354,1,3,32,1,31,61,3,4,3,2,4,2,3,2,4,1
355,8,3,32,2,26,22,2,3,1,4,3,4,2,2,2,2
356,6,4,41,2,27,79,2,3,3,4,4,4,3,4,3,3
357,1,1,15,1,48,65,4,3,4,4,1,2,1,3,2,3
358,7,4,41,2,31,112,2,3,2,1,1,2,3,3,3,4
359,7,2,25,1,36,109,1,3,4,4,1,1,3,4,2,4
360,5,4,41,1,30,117,3,4,1,3,3,2,4,4,2,2
361,1,5,54,1,32,85,2,2,2,1,3,2,2,3,3,2
362,3,4,45,1,39,17,2,4,2,3,3,2,3,2,4,2
363,6,2,22,1,32,32,2,3,3,2,4,2,3,2,3,4
364,2,4,41,1,46,113,3,3,3,4,4,1,3,3,4,4
365,5,2,21,1,32,41,2,4,2,1,4,4,4,3,4,3
366,8,3,33,1,24,281,3,3,2,3,2,4,2,4,3,1
367,5,1,11,2,26,,3,4,4,3,3,2,1,4,4,3
368,1,3,35,1,34,35,4,2,4,2,4,3,4,3,4,2
369,7,2,25,2,34,33,2,2,2,2,4,3,4,1,3,4
370,4,1,14,2,28,58,3,1,2,4,2,3,2,4,4,4
371,2,2,24,2,29,10,2,3,3,3,1,3,3,3,4,1
372,7,4,43,1,41,118,4,2,3,3,2,4,4,2,2,2
373,7,3,34,1,34,128,3,3,1,4,4,2,2,3,2,1
374,7,5,54,1,36,24,2,3,2,1,3,3,2,2,2,3
375,8,4,43,2,30,42,4,2,3,4,3,2,3,3,2,3
376,7,2,23,2,31,11,2,4,3,1,1,4,3,2,2,3
377,2,1,11,2,25,174,4,1,3,2,3,2,4,4,3,1
378,2,3,33,2,33,117,3,3,3,3,2,4,3,1,2,4
379,4,5,53,1,37,17,3,1,2,2,2,1,2,2,2,3
380,1,2,25,2,38,61,4,2,2,4,2,3,2,4,3,3
381,4,1,15,1,29,26,1,1,2,4,2,4,2,2,1,2
382,3,1,11,2,39,5,1,2,2,4,3,4,3,2,3,3
383,4,3,34,1,32,59,2,2,3,2,2,2,3,2,2,4
384,4,4,42,1,39,16,3,4,3,2,4,4,3,3,4,2
385,3,1,13,1,37,4,2,4,4,3,2,3,2,3,1,2
386,7,2,22,2,28,215,2,2,4,3,2,3,3,2,3,2
387,8,3,31,2,35,101,2,4,3,2,2,1,4,4,3,2
388,4,5,52,2,30,21,1,4,2,2,4,3,3,2,3,3
389,4,5,51,2,28,38,1,2,3,3,3,2,4,2,2,3
390,5,5,53,1,39,75,3,3,2,2,2,4,2,2,2,2
391,7,1,13,2,40,46,4,4,3,3,2,2,4,2,3,2
392,8,2,21,2,33,29,4,4,4,4,2,3,3,4,3,4
393,4,2,22,2,33,81,3,2,3,3,2,2,3,3,3,4
394,1,4,41,1,23,80,3,2,2,2,3,4,2,3,3,4
395,3,2,24,2,26,117,2,2,3,4,4,4,2,2,3,2
396,5,1,12,2,32,135,4,3,2,1,1,4,1,3,3,3
397,2,3,34,2,31,19,2,2,1,4,1,2,4,2,2,4
398,5,4,43,2,21,94,2,4,1,3,4,3,4,3,2,2
399,4,2,24,1,34,7,3,2,1,2,3,3,4,3,4,4
400,2,1,12,1,33,755,3,2,3,3,2,4,2,1,3,3
401,5,5,52,1,32,114,2,2,3,1,2,2,4,4,3,2
402,3,2,22,1,37,86,2,4,4,2,2,3,3,3,2,2
403,8,1,13,1,33,176,2,2,2,4,3,3,2,2,1,3
404,6,4,42,2,41,28,3,3,3,2,2,2,3,2,2,3
405,4,2,22,1,33,33,2,3,3,2,3,3,3,3,3,3
406,4,3,34,1,40,98,1,4,4,1,3,2,4,4,3,2
